section,key,value
summary,model,./lcnet_075.onnx
summary,node_count,99
summary,input_count,1
summary,output_count,1
summary,num_params,2354176
summary,model_size,9.00321102142334
parameter_data_types,FLOAT,2354176
operators,Conv,"count=32, percentage=32.323232323232325"
operators,HardSigmoid,"count=30, percentage=30.303030303030305"
operators,Mul,"count=30, percentage=30.303030303030305"
operators,ReduceMean,"count=2, percentage=2.0202020202020203"
operators,Relu,"count=2, percentage=2.0202020202020203"
operators,GlobalAveragePool,"count=1, percentage=1.0101010101010102"
operators,Flatten,"count=1, percentage=1.0101010101010102"
operators,Gemm,"count=1, percentage=1.0101010101010102"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
